user_id,item_id,pred
0,208031,79.38511202160103
0,193714,55.64289905691143
0,393064,64.058644389291
0,207030,89.64142033861698
0,112040,59.10847516917589
0,464229,71.30240968727864
1,55971,88.90677002548841
1,583090,84.93282019238481
1,180171,91.88141196194567
1,617646,90.0144989570915
1,175835,90.50014976996688
1,553890,90.38875645743556
2,48916,79.72700171164117
2,238557,43.7892147286311
2,61148,9.853573456263845
2,378073,18.929706925256227
2,17863,36.7653227191807
2,187943,17.19198792290731
3,21931,84.36991064967675
3,173094,84.95460989919391
3,432968,82.5472353572102
3,451800,82.44321378732889
3,267723,87.59901602180487
3,194044,91.98808255877563
4,410183,64.4046738999955
4,427410,63.9822625761971
4,365950,60.8255619444809
4,201649,76.69002836869427
4,498231,61.14289458690311
4,174837,78.11344593158158
5,318605,18.577895393356933
5,287777,22.50864691704892
5,548498,24.063313438245856
5,459622,57.66661882981307
5,507696,50.13151677768783
5,194079,33.84913631030847
6,124281,52.40121964476615
6,531386,68.11576523438683
6,601402,72.1686895163839
6,278425,42.83257282618462
6,401755,59.65685038746823
6,513664,55.08584921019233
7,40189,56.63076391673546
7,248699,78.29428837728705
7,422900,55.704658262126706
7,219179,77.72344379233809
7,601402,77.70016014984378
7,147073,75.85145977141315
8,603112,79.86853185642374
8,535864,88.63044017588524
8,189820,94.87585746429919
8,182140,97.34997428175079
8,574204,95.98633095813565
8,622325,86.60568286318966
9,350511,87.3049763924042
9,531386,81.96902867715318
9,142979,87.81230519721429
9,17863,80.85109786476605
9,67176,85.62587635777302
9,283541,87.76817336908618
10,453396,84.502178007055
10,169708,83.65813633656344
10,10843,86.3336093949629
10,154265,79.40890398358222
10,200671,84.70601897202877
10,180171,86.59177121550749
11,359283,54.27200870159838
11,503258,54.481895718903964
11,184361,52.33250566430947
11,533053,55.407352754165025
11,248728,48.561377157118
11,36145,50.95674624019625
12,29235,69.9707942651681
12,215827,70.71994814224249
12,556541,72.84104486078246
12,307197,63.459376372667485
12,46030,49.50458011955197
12,196673,62.41042875064182
13,567726,92.14609818197522
13,310379,88.79527370243264
13,491757,89.02973433990991
13,185665,90.1155659125177
13,371598,89.44697412571723
13,304287,90.97426866614748
14,396346,42.039599537483326
14,425025,14.617394693255534
14,62829,4.344086216306188
14,86231,21.778055714840782
14,25089,21.806278995451294
14,585578,29.128581766237012
15,512429,49.02276884674523
15,298318,41.51920664222368
15,551567,45.04099929061518
15,287777,38.47430918510264
15,403644,55.328794361430354
15,190141,50.408174109369305
16,601402,85.26091683178134
16,592747,85.38695497374093
16,107190,72.72536056560736
16,440749,88.36965603932042
16,556458,85.16125797466188
16,120328,84.15323949700311
17,436056,91.15577472552138
17,624550,63.158133059338645
17,324045,91.30696434074467
17,371598,89.50890913375937
17,205871,90.06879811054505
17,257310,90.25817291101401
18,543790,65.64698553378436
18,98085,70.3595661366425
18,216505,24.169172960500042
18,599530,19.055364890598334
18,497225,67.49131360676584
18,385552,76.9032839528588
19,275261,88.69013794032358
19,225587,87.88423309667701
19,466895,84.85349181752333
19,548098,83.76666994599034
19,257158,77.86330927008827
19,349250,84.58296826427933
20,247563,80.73592932759072
20,489371,85.64879618053874
20,9101,85.73520209545524
20,56437,82.6901792222759
20,180037,87.52373073804529
20,349451,79.48001841066873
21,255947,79.35966117980311
21,177946,86.00935299455165
21,254402,81.59933630098115
21,548661,80.50943442958115
21,265758,83.33350830378262
21,126876,70.9993505029735
22,370371,75.5308647581459
22,251407,63.802607211930635
22,105882,61.12300333159788
22,189820,80.83905543605482
22,559390,73.80718801844174
22,12563,84.66408437998766
23,107536,68.0611623969356
23,268443,63.037189440765104
23,502081,68.08039763723761
23,540166,63.509313524501025
23,525971,69.30651748124396
23,603439,82.19156559042506
24,75343,66.49461862825375
24,419241,45.41494795857979
24,126944,74.87899292232147
24,423102,77.49183718721105
24,195167,73.8456380254766
24,616983,65.41121108495223
25,206975,84.85699176454324
25,582591,75.83397984146832
25,563692,80.10491122209706
25,359811,86.93996191176026
25,484497,80.97840086623188
25,274703,68.23189007417798
26,166998,89.8841672250589
26,532569,86.0845337998352
26,148116,89.83958686101877
26,283332,79.5279074695506
26,470248,88.76064243240856
26,267846,89.25061672633143
27,491842,57.79449339378865
27,405897,1.2679393217782504
27,391656,66.42263957611141
27,262752,87.05877850600825
27,82199,36.9373512539007
